produto,preco,data,vendas,temp,selic
Camiseta Básica Branca,49.9,2024-01-01,74.05884076182416,29.08858357309057,11.75
Camiseta Básica Branca,49.9,2024-01-02,80.66522862234277,28.83007169244744,11.746565934065934
Camiseta Básica Branca,49.9,2024-01-03,69.5442905668787,30.078656074092823,11.743131868131869
Camiseta Básica Branca,49.9,2024-01-04,78.22207179895967,31.96711712218586,11.739697802197803
Camiseta Básica Branca,49.9,2024-01-05,74.18894086866489,29.230303273086953,11.736263736263735
Camiseta Básica Branca,49.9,2024-01-06,71.5614433499459,31.753994472292597,11.73282967032967
Camiseta Básica Branca,49.9,2024-01-07,88.79094402927402,28.40202620380583,11.729395604395604
Camiseta Básica Branca,49.9,2024-01-08,83.24315927911309,28.706782911574024,11.725961538461538
Camiseta Básica Branca,49.9,2024-01-09,79.66081386489309,28.46353224373309,11.722527472527473
Camiseta Básica Branca,49.9,2024-01-10,80.66670231638818,27.547041952340585,11.719093406593407
Camiseta Básica Branca,49.9,2024-01-11,74.65798476821304,28.958134278175788,11.715659340659341
Camiseta Básica Branca,49.9,2024-01-12,78.86003172061683,26.199943120193502,11.712225274725276
Camiseta Básica Branca,49.9,2024-01-13,82.45308868413137,29.420625857115294,11.708791208791208
Camiseta Básica Branca,49.9,2024-01-14,73.476621861341,29.21175143713715,11.705357142857142
Camiseta Básica Branca,49.9,2024-01-15,69.02788002836554,31.356408579540076,11.701923076923077
Camiseta Básica Branca,49.9,2024-01-16,84.14833840463726,26.588109545793554,11.698489010989011
Camiseta Básica Branca,49.9,2024-01-17,77.19073573814927,30.687868079323373,11.695054945054945
Camiseta Básica Branca,49.9,2024-01-18,73.17214962300834,28.352637277638564,11.69162087912088
Camiseta Básica Branca,49.9,2024-01-19,81.04560295138604,28.635450521285154,11.688186813186814
Camiseta Básica Branca,49.9,2024-01-20,67.98582384752994,30.355894426631043,11.684752747252746
Camiseta Básica Branca,49.9,2024-01-21,95.4257831670257,24.511476772500618,11.68131868131868
Camiseta Básica Branca,49.9,2024-01-22,80.40533963916344,28.201215020028382,11.677884615384615
Camiseta Básica Branca,49.9,2024-01-23,65.26606244962639,30.175798689347502,11.67445054945055
Camiseta Básica Branca,49.9,2024-01-24,85.58134612801507,30.078535723223315,11.671016483516484
Camiseta Básica Branca,49.9,2024-01-25,73.687894992764,30.6225100176421,11.667582417582418
Camiseta Básica Branca,49.9,2024-01-26,77.64901631748793,23.901273175642377,11.664148351648352
Camiseta Básica Branca,49.9,2024-01-27,77.13758200762823,26.763937669028735,11.660714285714286
Camiseta Básica Branca,49.9,2024-01-28,78.39170903732098,25.691704199892403,11.657280219780219
Camiseta Básica Branca,49.9,2024-01-29,82.94147037758144,30.219968991339375,11.653846153846153
Camiseta Básica Branca,49.9,2024-01-30,91.30227760860076,25.685556324951186,11.650412087912088
